"Time","Timestamp","Perspiration","NR_Perspiration"
85,2019-02-15 12:08:01,0.00723270589473684,0.00612671231990844
86,2019-02-15 12:08:02,0.00767739768421053,0.00616303194269407
87,2019-02-15 12:08:03,0.00726014310526316,0.00607952485084974
88,2019-02-15 12:08:04,0.005145056,0.00607221650264929
89,2019-02-15 12:08:05,0.00593258247058824,0.00643236157305972
90,2019-02-15 12:08:06,0.018563392125,0.00722090483599797
91,2019-02-15 12:08:07,0.03905553275,0.00805140485516243
92,2019-02-15 12:08:08,0.0071459075625,0.00766337243674672
93,2019-02-15 12:08:09,0.00564709436842105,0.00630650917540547
94,2019-02-15 12:08:10,0.00374297555555556,0.00520981657855475
95,2019-02-15 12:08:11,0.00471846470588235,0.00462528122668037
96,2019-02-15 12:08:12,0.00351966168421053,0.0042742744068055
97,2019-02-15 12:08:13,0.00367750826666667,0.00408644029665991
