"Timestamp","Application"
2019-05-26 15:17:40,"explorer"
2019-05-26 15:17:41,"WINWORD"
2019-05-26 15:17:45,"Idle"
2019-05-26 15:17:46,"explorer"
2019-05-26 15:17:49,"WINWORD"
2019-05-26 15:18:18,"explorer"
2019-05-26 15:18:19,"WINWORD"
2019-05-26 15:18:36,"explorer"
2019-05-26 15:18:37,"WINWORD"
2019-05-26 15:18:39,"explorer"
2019-05-26 15:18:41,"WINWORD"
2019-05-26 15:19:35,"explorer"
2019-05-26 15:19:36,"WINWORD"
2019-05-26 15:20:07,"explorer"
2019-05-26 15:20:08,"WINWORD"
2019-05-26 15:20:10,"explorer"
2019-05-26 15:20:11,"WINWORD"
2019-05-26 15:20:43,"explorer"
2019-05-26 15:20:47,"WINWORD"
2019-05-26 15:21:13,"explorer"
2019-05-26 15:21:14,"WINWORD"
2019-05-26 15:22:12,"explorer"
2019-05-26 15:22:20,"WINWORD"
2019-05-26 15:22:24,"explorer"
2019-05-26 15:22:26,"WINWORD"
2019-05-26 15:23:22,"explorer"
2019-05-26 15:23:23,"WINWORD"
2019-05-26 15:28:03,"explorer"
2019-05-26 15:28:04,"WINWORD"
2019-05-26 15:28:36,"MendeleyDesktop"
2019-05-26 15:28:38,"WINWORD"
2019-05-26 15:30:38,"explorer"
2019-05-26 15:30:46,"WINWORD"
2019-05-26 15:33:10,"explorer"
2019-05-26 15:33:13,"WINWORD"
2019-05-26 15:41:06,"explorer"
2019-05-26 15:41:09,"WINWORD"
2019-05-26 15:41:12,"explorer"
2019-05-26 15:41:16,"WINWORD"
2019-05-26 15:42:20,"explorer"
2019-05-26 15:42:22,"WINWORD"
2019-05-26 15:43:37,"explorer"
2019-05-26 15:43:40,"WINWORD"
2019-05-26 15:43:47,"explorer"
2019-05-26 15:43:48,"WINWORD"
2019-05-26 15:47:22,"explorer"
2019-05-26 15:47:25,"WINWORD"
2019-05-26 15:48:32,"Idle"
2019-05-26 15:48:33,"explorer"
2019-05-26 15:48:35,"WINWORD"
2019-05-26 15:48:37,"explorer"
2019-05-26 15:48:40,"WINWORD"
