Time,HeartRate
2019-10-11 16:27:40,68
2019-10-11 16:27:44,68
2019-10-11 16:27:47,68
2019-10-11 16:27:52,68
2019-10-11 16:27:58,68
2019-10-11 16:28:01,67
2019-10-11 16:28:06,68
2019-10-11 16:28:15,70
2019-10-11 16:28:20,67
2019-10-11 16:28:21,67
2019-10-11 16:28:29,66
2019-10-11 16:28:31,67
2019-10-11 16:28:36,67
2019-10-11 16:28:44,67
2019-10-11 16:28:48,67
2019-10-11 16:28:52,68
2019-10-11 16:29:00,68
2019-10-11 16:29:05,65
2019-10-11 16:29:09,64
2019-10-11 16:29:11,64
2019-10-11 16:29:20,63
2019-10-11 16:29:24,63
2019-10-11 16:29:29,63
2019-10-11 16:29:31,62
2019-10-11 16:29:36,63
2019-10-11 16:29:45,63
2019-10-11 16:29:46,64
2019-10-11 16:29:53,62
2019-10-11 16:29:58,61
2019-10-11 16:30:02,63
2019-10-11 16:30:10,63
2019-10-11 16:30:15,65
2019-10-11 16:30:20,66
2019-10-11 16:30:22,66
2019-10-11 16:30:27,68
2019-10-11 16:30:31,68
2019-10-11 16:30:40,67
2019-10-11 16:30:42,67
2019-10-11 16:30:49,68
2019-10-11 16:30:55,66
2019-10-11 16:30:59,67
2019-10-11 16:31:01,67
2019-10-11 16:31:07,69
2019-10-11 16:31:15,67
2019-10-11 16:31:20,66
2019-10-11 16:31:25,66
2019-10-11 16:31:26,66
2019-10-11 16:31:31,66
2019-10-11 16:31:36,66
2019-10-11 16:31:41,67
2019-10-11 16:31:46,68
2019-10-11 16:31:51,69
2019-10-11 16:32:00,68
2019-10-11 16:32:04,66
2019-10-11 16:32:07,67
2019-10-11 16:32:11,66
2019-10-11 16:32:17,67
2019-10-11 16:32:22,68
2019-10-11 16:32:31,68
2019-10-11 16:32:33,68
2019-10-11 16:32:41,66
2019-10-11 16:32:46,66
2019-10-11 16:32:47,66
2019-10-11 16:32:54,69
2019-10-11 16:32:57,69
2019-10-11 16:33:02,69
2019-10-11 16:33:08,69
2019-10-11 16:33:13,69
2019-10-11 16:33:21,70
2019-10-11 16:33:23,69
2019-10-11 16:33:27,69
2019-10-11 16:33:35,68
2019-10-11 16:33:41,66
2019-10-11 16:33:45,65
2019-10-11 16:33:47,66
2019-10-11 16:33:52,67
2019-10-11 16:34:01,69
2019-10-11 16:34:06,67
2019-10-11 16:34:07,68
2019-10-11 16:34:16,67
2019-10-11 16:34:18,67
2019-10-11 16:34:23,67
2019-10-11 16:34:29,67
2019-10-11 16:34:32,68
2019-10-11 16:34:41,68
2019-10-11 16:34:44,68
2019-10-11 16:34:47,68
2019-10-11 16:34:53,68
2019-10-11 16:34:58,68
2019-10-11 16:35:04,68
2019-10-11 16:35:09,69
2019-10-11 16:35:16,70
2019-10-11 16:35:20,69
2019-10-11 16:35:26,66
2019-10-11 16:35:28,68
2019-10-11 16:35:34,70
2019-10-11 16:35:41,69
2019-10-11 16:35:46,69
2019-10-11 16:35:47,69
2019-10-11 16:35:54,67
2019-10-11 16:35:57,68
2019-10-11 16:36:02,68
