Timestamp,Activity,Details
Fri May 31 12:50:12.788 2019,MouseMove,
Fri May 31 12:50:12.798 2019,MouseMove,
Fri May 31 12:50:12.805 2019,MouseMove,
Fri May 31 12:50:12.814 2019,MouseMove,
Fri May 31 12:50:12.824 2019,MouseMove,
Fri May 31 12:50:12.829 2019,MouseMove,
Fri May 31 12:50:12.839 2019,MouseMove,
Fri May 31 12:50:12.845 2019,MouseMove,
Fri May 31 12:50:12.855 2019,MouseMove,
Fri May 31 12:50:12.859 2019,MouseMove,
Fri May 31 12:50:12.869 2019,MouseMove,
Fri May 31 12:50:12.879 2019,MouseMove,
Fri May 31 12:50:12.884 2019,MouseMove,
Fri May 31 12:50:12.895 2019,MouseMove,
Fri May 31 12:50:12.901 2019,MouseMove,
Fri May 31 12:50:12.910 2019,MouseMove,
Fri May 31 12:50:12.920 2019,MouseMove,
Fri May 31 12:50:12.925 2019,MouseMove,
Fri May 31 12:50:12.934 2019,MouseMove,
Fri May 31 12:50:12.940 2019,MouseMove,
Fri May 31 12:50:12.951 2019,MouseMove,
Fri May 31 12:50:12.965 2019,MouseMove,
Fri May 31 12:50:12.975 2019,MouseMove,
Fri May 31 12:50:12.980 2019,MouseMove,
Fri May 31 12:50:12.990 2019,MouseMove,
Fri May 31 12:50:12.995 2019,MouseMove,
Fri May 31 12:50:13.006 2019,MouseMove,
Fri May 31 12:50:13.017 2019,MouseMove,
Fri May 31 12:50:13.020 2019,MouseMove,
Fri May 31 12:50:13.030 2019,MouseMove,
Fri May 31 12:50:13.036 2019,MouseMove,
Fri May 31 12:50:13.046 2019,MouseMove,
Fri May 31 12:50:13.051 2019,MouseMove,
Fri May 31 12:50:13.061 2019,MouseMove,
Fri May 31 12:50:13.071 2019,MouseMove,
Fri May 31 12:50:13.076 2019,MouseMove,
Fri May 31 12:50:13.087 2019,MouseMove,
Fri May 31 12:50:13.090 2019,MouseMove,
Fri May 31 12:50:13.101 2019,MouseMove,
Fri May 31 12:50:13.117 2019,MouseMove,
Fri May 31 12:50:13.126 2019,MouseMove,
Fri May 31 12:50:13.132 2019,MouseMove,
Fri May 31 12:50:13.142 2019,MouseMove,
Fri May 31 12:50:13.146 2019,MouseMove,
Fri May 31 12:50:13.187 2019,MouseMove,
Fri May 31 12:50:13.216 2019,MouseMove,
Fri May 31 12:50:13.272 2019,MouseMove,
Fri May 31 12:50:13.670 2019,MouseMove,
Fri May 31 12:50:13.676 2019,MouseMove,
