[2019-05-20 11:26:15] Microsoft PowerPoint
[2019-05-20 11:26:16] Microsoft PowerPoint
[2019-05-20 11:26:17] Microsoft PowerPoint
[2019-05-20 11:26:18] Microsoft PowerPoint
[2019-05-20 11:26:19] Microsoft PowerPoint
[2019-05-20 11:26:20] Microsoft PowerPoint
[2019-05-20 11:26:21] Microsoft PowerPoint
[2019-05-20 11:26:22] Microsoft PowerPoint
[2019-05-20 11:26:23] Microsoft PowerPoint
[2019-05-20 11:26:25] Microsoft PowerPoint
[2019-05-20 11:26:26] Microsoft PowerPoint
[2019-05-20 11:26:27] Microsoft PowerPoint
[2019-05-20 11:26:28] Microsoft PowerPoint
[2019-05-20 11:26:29] Microsoft PowerPoint
[2019-05-20 11:26:30] Microsoft PowerPoint
[2019-05-20 11:26:31] Microsoft PowerPoint
[2019-05-20 11:26:32] Microsoft PowerPoint
[2019-05-20 11:26:33] Microsoft PowerPoint
[2019-05-20 11:26:35] Microsoft PowerPoint
[2019-05-20 11:26:36] Microsoft PowerPoint
[2019-05-20 11:26:37] Microsoft PowerPoint
[2019-05-20 11:26:38] Microsoft PowerPoint
[2019-05-20 11:26:39] Microsoft PowerPoint
[2019-05-20 11:40:52] Microsoft PowerPoint
[2019-05-20 11:40:53] Microsoft PowerPoint
[2019-05-20 11:40:54] Microsoft PowerPoint
[2019-05-20 11:40:55] Microsoft PowerPoint
[2019-05-20 11:40:56] Microsoft PowerPoint
[2019-05-20 11:40:57] Microsoft PowerPoint
[2019-05-20 11:40:58] Microsoft PowerPoint
[2019-05-20 11:40:59] Microsoft PowerPoint
[2019-05-20 11:41:01] Microsoft PowerPoint
[2019-05-20 11:41:02] Microsoft PowerPoint
[2019-05-20 11:41:03] Microsoft PowerPoint
[2019-05-20 11:41:04] Microsoft PowerPoint
[2019-05-20 11:41:05] Microsoft PowerPoint
[2019-05-20 11:41:06] Microsoft PowerPoint
[2019-05-20 11:41:07] Microsoft PowerPoint
[2019-05-20 11:41:08] Microsoft PowerPoint
[2019-05-20 11:41:09] Microsoft PowerPoint
[2019-05-20 11:41:11] Microsoft PowerPoint
[2019-05-20 11:41:12] Microsoft PowerPoint
[2019-05-20 11:41:13] Microsoft PowerPoint
[2019-05-20 11:41:14] Microsoft PowerPoint
[2019-05-20 11:41:15] Microsoft PowerPoint
[2019-05-20 11:41:16] Microsoft PowerPoint
[2019-05-20 11:41:17] Microsoft PowerPoint
[2019-05-20 11:41:18] Microsoft PowerPoint
[2019-05-20 11:41:19] Microsoft PowerPoint
[2019-05-20 11:41:20] Microsoft PowerPoint
[2019-05-20 11:41:22] Microsoft PowerPoint
[2019-05-20 11:41:23] Microsoft PowerPoint
[2019-05-20 11:41:24] Microsoft PowerPoint
[2019-05-20 11:41:25] Microsoft PowerPoint
[2019-05-20 11:41:26] Microsoft PowerPoint
[2019-05-20 11:41:27] Microsoft PowerPoint
[2019-05-20 11:41:28] Microsoft PowerPoint
[2019-05-20 11:41:29] Microsoft PowerPoint
[2019-05-20 11:41:30] Microsoft PowerPoint
[2019-05-20 11:41:31] Microsoft PowerPoint
[2019-05-20 11:41:33] Microsoft PowerPoint
[2019-05-20 11:41:34] Microsoft PowerPoint
[2019-05-20 11:41:35] Microsoft PowerPoint
[2019-05-20 11:41:36] Microsoft PowerPoint
[2019-05-20 11:41:37] Microsoft PowerPoint
[2019-05-20 11:41:38] Microsoft PowerPoint
[2019-05-20 11:41:39] Microsoft PowerPoint
[2019-05-20 11:41:40] Microsoft PowerPoint
[2019-05-20 11:41:41] Microsoft PowerPoint
[2019-05-20 11:41:43] Microsoft PowerPoint
[2019-05-20 11:41:44] Microsoft PowerPoint
[2019-05-20 11:41:45] Microsoft PowerPoint
[2019-05-20 11:41:46] Microsoft PowerPoint
[2019-05-20 11:41:47] Microsoft PowerPoint
[2019-05-20 11:41:48] Microsoft PowerPoint
[2019-05-20 11:41:49] Microsoft PowerPoint
[2019-05-20 11:41:51] Microsoft PowerPoint
[2019-05-20 11:41:52] Microsoft PowerPoint
[2019-05-20 11:41:53] Microsoft PowerPoint
[2019-05-20 11:41:54] Microsoft PowerPoint
[2019-05-20 11:41:55] Microsoft PowerPoint
[2019-05-20 11:41:56] Microsoft PowerPoint
[2019-05-20 11:41:57] Microsoft PowerPoint
[2019-05-20 11:41:58] Microsoft PowerPoint
[2019-05-20 11:41:59] Microsoft PowerPoint
[2019-05-20 11:42:01] Safari
[2019-05-20 11:42:02] Safari
[2019-05-20 11:42:03] Safari
[2019-05-20 11:42:04] Safari
[2019-05-20 11:42:05] Safari
[2019-05-20 11:42:06] Safari
[2019-05-20 11:42:07] Safari
[2019-05-20 11:42:08] Safari
[2019-05-20 11:42:10] Safari
[2019-05-20 11:42:11] Safari
[2019-05-20 11:42:12] Safari
[2019-05-20 11:42:13] Safari
[2019-05-20 11:42:14] Safari
[2019-05-20 11:42:15] Safari
[2019-05-20 11:42:16] Safari
[2019-05-20 11:42:17] Safari
[2019-05-20 11:42:18] Safari
[2019-05-20 11:42:20] Safari
[2019-05-20 11:42:21] Safari
[2019-05-20 11:42:22] Safari
[2019-05-20 11:42:23] Safari
[2019-05-20 11:42:24] Safari
[2019-05-20 11:42:25] Safari
[2019-05-20 11:42:26] Safari
[2019-05-20 11:42:27] Safari
[2019-05-20 11:42:28] Safari
[2019-05-20 11:42:30] Safari
[2019-05-20 11:42:31] Safari
[2019-05-20 11:42:32] Safari
[2019-05-20 11:42:33] Safari
[2019-05-20 11:42:34] Safari
[2019-05-20 11:42:35] Safari
[2019-05-20 11:42:36] Safari
[2019-05-20 11:42:37] Safari
[2019-05-20 11:42:38] Safari
[2019-05-20 11:42:40] Safari
[2019-05-20 11:42:41] Safari
[2019-05-20 11:42:42] Safari
[2019-05-20 11:42:43] Safari
[2019-05-20 11:42:44] Safari
[2019-05-20 11:42:45] Safari
[2019-05-20 11:42:46] Safari
[2019-05-20 11:42:47] Safari
[2019-05-20 11:42:48] Safari
[2019-05-20 11:42:50] Safari
[2019-05-20 11:42:51] Safari
[2019-05-20 11:42:52] Safari
[2019-05-20 11:42:53] Safari
[2019-05-20 11:42:54] Safari
[2019-05-20 11:42:55] Safari
[2019-05-20 11:42:56] Safari
[2019-05-20 11:42:57] Safari
[2019-05-20 11:42:59] Safari
[2019-05-20 11:43:00] Safari
[2019-05-20 11:43:01] Safari
[2019-05-20 11:43:02] Safari
[2019-05-20 11:43:03] Safari
[2019-05-20 11:43:04] Safari
[2019-05-20 11:43:05] Safari
[2019-05-20 11:43:06] Safari
[2019-05-20 11:43:08] Safari
[2019-05-20 11:43:09] Safari
[2019-05-20 11:43:10] Safari
[2019-05-20 11:43:11] Safari
[2019-05-20 11:43:12] Safari
[2019-05-20 11:43:13] Safari
[2019-05-20 11:43:14] Microsoft PowerPoint
[2019-05-20 11:43:15] Microsoft PowerPoint
[2019-05-20 11:43:17] App Store
[2019-05-20 11:43:18] App Store
[2019-05-20 11:43:19] Microsoft PowerPoint
[2019-05-20 11:43:20] Microsoft PowerPoint
[2019-05-20 11:43:21] Microsoft PowerPoint
[2019-05-20 11:43:22] Microsoft PowerPoint
[2019-05-20 11:43:23] Microsoft PowerPoint
[2019-05-20 11:43:24] Microsoft PowerPoint
[2019-05-20 11:43:25] Microsoft PowerPoint
[2019-05-20 11:43:27] Microsoft PowerPoint
[2019-05-20 11:43:28] Finder
[2019-05-20 11:43:29] Finder
[2019-05-20 11:43:30] Finder
[2019-05-20 11:43:31] Finder
[2019-05-20 11:43:32] Finder
[2019-05-20 11:43:33] Finder
[2019-05-20 11:43:34] Finder
[2019-05-20 11:43:35] Finder
[2019-05-20 11:43:37] Finder
[2019-05-20 11:43:38] Terminal
[2019-05-20 11:43:39] Terminal
[2019-05-20 11:43:40] Terminal
[2019-05-20 11:43:41] Finder
[2019-05-20 11:43:42] Finder
[2019-05-20 11:43:43] Finder
[2019-05-20 11:43:44] Finder
[2019-05-20 11:43:45] Finder
[2019-05-20 11:43:47] Finder
[2019-05-20 11:43:48] Finder
[2019-05-20 11:43:49] Finder
[2019-05-20 11:43:50] Finder
[2019-05-20 11:43:51] Finder
[2019-05-20 11:43:52] Finder
[2019-05-20 11:43:53] Finder
[2019-05-20 11:43:54] Finder
[2019-05-20 11:43:55] Microsoft PowerPoint
[2019-05-20 11:43:56] Microsoft PowerPoint
[2019-05-20 11:43:58] Microsoft PowerPoint
[2019-05-20 11:43:59] Microsoft PowerPoint
[2019-05-20 11:44:00] Microsoft PowerPoint
[2019-05-20 11:44:01] Microsoft Word
[2019-05-20 11:44:02] Microsoft Word
[2019-05-20 11:44:03] Microsoft Word
[2019-05-20 11:44:04] Microsoft Word
[2019-05-20 11:44:05] Microsoft Word
[2019-05-20 11:44:07] Microsoft PowerPoint
[2019-05-20 11:44:08] Microsoft PowerPoint
[2019-05-20 11:44:09] Microsoft PowerPoint
[2019-05-20 11:44:10] Microsoft PowerPoint
[2019-05-20 11:44:11] Microsoft PowerPoint
[2019-05-20 11:44:12] Microsoft PowerPoint
[2019-05-20 11:44:13] Microsoft PowerPoint
[2019-05-20 11:44:14] Microsoft PowerPoint
[2019-05-20 11:44:15] Microsoft PowerPoint
[2019-05-20 11:44:17] Microsoft PowerPoint
[2019-05-20 11:44:18] Microsoft PowerPoint
[2019-05-20 11:44:19] Microsoft PowerPoint
[2019-05-20 11:44:20] Microsoft PowerPoint
[2019-05-20 11:44:21] Microsoft PowerPoint
[2019-05-20 11:44:22] Microsoft PowerPoint
[2019-05-20 11:44:23] Microsoft PowerPoint
[2019-05-20 11:44:24] Microsoft PowerPoint
[2019-05-20 11:44:25] Microsoft PowerPoint
[2019-05-20 11:44:26] Microsoft PowerPoint
[2019-05-20 11:44:28] Microsoft PowerPoint
[2019-05-20 11:44:29] Microsoft PowerPoint
[2019-05-20 11:44:30] Microsoft PowerPoint
[2019-05-20 11:44:31] Microsoft PowerPoint
[2019-05-20 11:44:32] Microsoft Word
[2019-05-20 11:44:33] Microsoft Word
[2019-05-20 11:44:34] Microsoft Word
[2019-05-20 11:44:35] Microsoft Word
[2019-05-20 11:44:36] Microsoft Word
[2019-05-20 11:44:38] Microsoft Word
[2019-05-20 11:44:39] Microsoft Word
[2019-05-20 11:44:40] Microsoft Word
[2019-05-20 11:44:41] Microsoft Word
[2019-05-20 11:44:42] Microsoft Word
[2019-05-20 11:44:43] Microsoft PowerPoint
